ID,Yield,TestWt,FDK,DON,StripeRust
NC052,60.69586763,57.09617772,NA,NA,1.952996795
NC075,69.22323086,57.8984097,NA,NA,2.004061848
AR084,50.64958971,56.3889955,NA,NA,2.017149062
AR086,40.72292336,52.32176978,NA,NA,2.017149062
AR087,42.84344484,56.47566001,NA,NA,2.017149062
AR088,40.39225956,51.89434802,NA,NA,2.017149062
AR090,44.39777438,54.46639111,NA,NA,2.017149062
AR091,39.69765548,57.01075371,NA,NA,2.017149062
AR092,43.36258782,55.59689155,NA,NA,2.017149062
AR093,43.42933504,55.41564778,NA,NA,2.017149062
AR095,55.05428319,54.47240778,NA,NA,2.017149062
AR096,42.52433877,55.0120693,NA,NA,2.017149062
AR097,43.45064693,54.32565754,NA,NA,2.017149062
FL001,47.8799716,50.36988616,NA,NA,2.017149062
FL003,64.72094427,57.13590163,NA,NA,2.017149062
FL004,62.1805632,56.55216488,NA,NA,2.017149062
FL006,57.29303399,53.81946395,NA,NA,2.017149062
FL020,57.19425684,52.75007308,NA,NA,2.017149062
GA010,58.57119863,54.08894925,NA,NA,2.017149062
GA016,72.97329223,56.34110498,NA,NA,2.017149062
GA017,71.76787956,56.58151408,NA,NA,2.017149062
GA019,58.41863368,54.0317509,NA,NA,2.017149062
GA020,64.64559174,54.88025327,NA,NA,2.017149062
GA021,65.80451168,57.39117073,NA,NA,2.017149062
GA025,62.38987882,54.12160966,NA,NA,2.017149062
GA029,65.58932726,55.11337394,NA,NA,2.017149062
GA043,71.24197158,57.30193901,NA,NA,2.017149062
GA169,59.05989242,52.20878845,NA,NA,2.017149062
LA011,64.48088155,55.87785891,NA,NA,2.017149062
LA013,55.93706708,53.73651348,NA,NA,2.017149062
LA014,62.9374496,56.42668576,NA,NA,2.017149062
LA015,62.49182473,56.04630161,NA,NA,2.017149062
LA017,62.12426972,56.29348839,NA,NA,2.017149062
LA018,59.02544585,54.56035677,NA,NA,2.017149062
LA019,54.42373047,55.09651652,NA,NA,2.017149062
LA022,59.07254692,54.45158167,NA,NA,2.017149062
NC002,50.97329512,54.94486549,NA,NA,2.017149062
NC006,54.96546577,56.2066818,NA,NA,2.017149062
NC008,59.01828532,56.48300075,NA,NA,2.017149062
NC009,66.03670759,55.57893535,NA,NA,2.017149062
NC012,54.01261666,54.14818946,NA,NA,2.017149062
NC015,49.09546835,55.19529307,NA,NA,2.017149062
SC061,61.21926835,53.20897543,NA,NA,2.017149062
SC062,56.97225427,53.05006212,NA,NA,2.017149062
SC063,59.91058854,53.56360095,NA,NA,2.017149062
SC064,59.57671139,53.40339241,NA,NA,2.017149062
SC065,61.57739465,52.18171803,NA,NA,2.017149062
SC066,57.34502413,52.85314504,NA,NA,2.017149062
SC067,58.41295407,53.32942228,NA,NA,2.017149062
SC068,60.61502338,52.78428347,NA,NA,2.017149062
SC069,65.57727146,53.64163341,NA,NA,2.017149062
SC070,61.26426905,53.70726932,NA,NA,2.017149062
GA033,62.35279149,56.13306227,NA,NA,2.06530482
VA038,62.11996406,56.06551586,NA,NA,2.06530482
AR064,72.22626449,58.10477857,NA,NA,2.070935765
GA159,60.66389691,58.03387531,NA,NA,2.103095634
VA118,69.91147165,57.9117239,NA,NA,2.133499904
LA118,67.91100588,59.03336039,NA,NA,2.149292675
AR030,60.08415701,55.69323187,NA,NA,2.200576985
GA089,63.50253188,56.40331394,NA,NA,2.200576985
NC067,54.60366773,57.18519224,NA,NA,2.200576985
VA099,58.28788783,54.14641279,NA,NA,2.200576985
VA059,57.74592924,53.51893839,NA,NA,2.206309955
GA034,62.0954102,56.08977472,NA,NA,2.210631306
GA048,62.2133348,58.40140892,NA,NA,2.254040253
GA054,64.54358065,54.94531558,NA,NA,2.254040253
NC120,75.14957257,58.20122656,NA,NA,2.290358927
FL016,69.99196917,58.91227456,NA,NA,2.292252587
AR005,56.48406042,54.04190275,NA,NA,2.301815136
AR076,50.78272481,57.22360769,NA,NA,2.301815136
AR080,52.59281607,55.79225544,NA,NA,2.301815136
LA009,63.59428261,56.44203781,NA,NA,2.301815136
NC014,58.00747449,56.42921328,NA,NA,2.301815136
SC051,56.30128554,55.87778748,NA,NA,2.301815136
AR042,66.17397165,58.14505724,NA,NA,2.334105416
SC058,61.16249473,55.18476146,NA,NA,2.351636441
SC046,57.03716689,56.27963975,NA,NA,2.355957793
FL017,55.80401193,57.31493206,NA,NA,2.368725173
GA162,60.24226522,57.26584252,NA,NA,2.368725173
TX014,69.08977938,57.97838633,NA,NA,2.376578309
LA036,63.39353835,58.00326734,NA,NA,2.452996795
SC029,63.78787128,57.90380396,NA,NA,2.452996795
SC032,62.14812408,57.42176482,NA,NA,2.452996795
SC035,51.76983153,58.2640123,NA,NA,2.452996795
SC036,54.38888354,57.39742138,NA,NA,2.452996795
VA041,48.86467698,53.96614155,NA,NA,2.486998456
SC048,59.74835116,54.58783448,NA,NA,2.496962928
LA099,66.23978873,54.82685539,NA,NA,2.499517049
FL002,65.00920248,55.7519938,NA,NA,2.517149062
LA002,68.67619321,56.52993975,NA,NA,2.517149062
LA003,69.29447215,54.75816635,NA,NA,2.517149062
NC016,60.61830279,55.95526971,NA,NA,2.517149062
LA083,68.24897165,56.67839057,NA,NA,2.531683366
AR029,58.70674385,56.49484172,NA,NA,2.533910319
LA057,56.45381902,58.9433186,NA,NA,2.533910319
FL019,69.14699479,58.60547606,NA,NA,2.539412097
FL023,70.50593791,58.71789832,NA,NA,2.553138696
NC026,59.6894008,57.38260433,NA,NA,2.633646711
